ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00102817;Ritsu;Doan;Doan;Ritsu Doan;SC Freiburg;MIDFIELDER;4000000;172;3.3
pl-k00102978;Finn Ole;Becker;Becker;Finn Ole Becker;TSG Hoffenheim;MIDFIELDER;1500000;51;3.61
pl-k00103179;Fabian;Nürnberger;Nürnberger;Fabian Nürnberger;SV Darmstadt 98;MIDFIELDER;1000000;70;3.67
pl-k00103200;Roberto;Massimo;Massimo;Roberto Massimo;VfB Stuttgart;MIDFIELDER;1300000;10;3.5
pl-k00103374;Patrick;Osterhage;Osterhage;Patrick Osterhage;VfL Bochum;MIDFIELDER;1300000;124;3.36
pl-k00103695;Robert;Gumny;Gumny;Robert Gumny;FC Augsburg;DEFENDER;1400000;22;4.17
pl-k00103767;Rogerio;Oliveira da Silva;Rogerio;Rogerio;VfL Wolfsburg;DEFENDER;2000000;39;3.75
pl-k00103853;Min-Jae;Kim;M.-J. Kim;Min-Jae Kim;Bayern München;DEFENDER;4700000;102;3.5
pl-k00103878;Omar;Marmoush;Marmoush;Omar Marmoush;Eintracht Frankfurt;FORWARD;1800000;198;3.27
pl-k00104317;Angelo;Stiller;Stiller;Angelo Stiller;VfB Stuttgart;MIDFIELDER;1600000;216;2.9
pl-k00104484;Andreas;Hanche-Olsen;Hanche-Olsen;Andreas Hanche-Olsen;1. FSV Mainz 05;DEFENDER;2600000;83;3.0
pl-k00104485;Julian;Ryerson;Ryerson;Julian Ryerson;Borussia Dortmund;DEFENDER;2800000;110;3.45
pl-k00104895;Rocco;Reitz;Reitz;Rocco Reitz;Bor. Mönchengladbach;MIDFIELDER;700000;142;3.54
pl-k00104978;Adam;Hlozek;Hlozek;Adam Hlozek;Bayer 04 Leverkusen;FORWARD;2200000;65;3.5
pl-k00105180;Jamie;Leweling;Leweling;Jamie Leweling;VfB Stuttgart;FORWARD;1500000;142;3.24
pl-k00105216;Fraser;Hornby;Hornby;Fraser Hornby;SV Darmstadt 98;FORWARD;1600000;2;4.2
pl-k00105274;Lasse;Rieß;Rieß;Lasse Rieß;1. FSV Mainz 05;GOALKEEPER;800000;0;0.0
pl-k00105275;Stanley;Nsoki;Nsoki;Stanley Nsoki;TSG Hoffenheim;DEFENDER;1300000;9;4.25
pl-k00105434;Noussair;Mazraoui;Mazraoui;Noussair Mazraoui;Bayern München;DEFENDER;2400000;71;3.5
pl-k00105566;Moritz;Broschinski;Broschinski;Moritz Broschinski;VfL Bochum;FORWARD;800000;35;4.18
pl-k00105787;Sepp;van den Berg;van den Berg;Sepp van den Berg;1. FSV Mainz 05;DEFENDER;1600000;174;3.28
pl-k00105841;Karim;Adeyemi;Adeyemi;Karim Adeyemi;Borussia Dortmund;FORWARD;4300000;39;3.94
pl-k00105845;Noah;Atubolu;Atubolu;Noah Atubolu;SC Freiburg;GOALKEEPER;2500000;210;3.19
pl-k00105866;Ian;Maatsen;Maatsen;Ian Maatsen;Borussia Dortmund;DEFENDER;2000000;90;3.25
pl-k00105999;Jonas;Wind;Wind;Jonas Wind;VfL Wolfsburg;FORWARD;2300000;174;3.55
pl-k00106087;Ko;Itakura;Itakura;Ko Itakura;Bor. Mönchengladbach;DEFENDER;2200000;71;3.78
pl-k00106358;Hiroki;Ito;H. Ito;Hiroki Ito;VfB Stuttgart;DEFENDER;3000000;161;2.94
pl-k00106698;Nick;Woltemade;Woltemade;Nick Woltemade;Werder Bremen;FORWARD;1200000;81;3.7
pl-k00106781;Iago;Amaral Borduchi;Iago;Iago;FC Augsburg;DEFENDER;1400000;76;3.64
pl-k00106928;Felix;Nmecha;F. Nmecha;Felix Nmecha;Borussia Dortmund;MIDFIELDER;2700000;36;3.97
pl-k00107684;Luca;Netz;Netz;Luca Netz;Bor. Mönchengladbach;DEFENDER;1700000;54;4.04
pl-k00107692;Jamal;Musiala;Musiala;Jamal Musiala;Bayern München;MIDFIELDER;6500000;188;2.95
pl-k00107693;Florian;Wirtz;Wirtz;Florian Wirtz;Bayer 04 Leverkusen;MIDFIELDER;5500000;331;2.27
pl-k00109417;Jan;Schöppner;Schöppner;Jan Schöppner;1. FC Heidenheim;MIDFIELDER;1400000;102;3.56
pl-k00109512;Marvin;Pieringer;Pieringer;Marvin Pieringer;1. FC Heidenheim;FORWARD;1700000;80;3.83
pl-k00109835;Thomas;Keller;Keller;Thomas Keller;1. FC Heidenheim;DEFENDER;800000;4;0.0
pl-k00110222;Emir;Karic;Karic;Emir Karic;SV Darmstadt 98;DEFENDER;1200000;16;4.38
pl-k00110417;Marcel;Lotka;Lotka;Marcel Lotka;Borussia Dortmund;GOALKEEPER;700000;0;0.0
pl-k00110496;Florian;Schock;Schock;Florian Schock;VfB Stuttgart;GOALKEEPER;500000;0;0.0
pl-k00110717;Lois;Openda;Openda;Lois Openda;RB Leipzig;FORWARD;4300000;324;2.82
pl-k00110979;Faride;Alidou;Alidou;Faride Alidou;1. FC Köln;MIDFIELDER;1200000;31;4.24
pl-k00110984;Daniel;Peretz;Peretz;Daniel Peretz;Bayern München;GOALKEEPER;1200000;2;0.0
pl-k00111197;Moritz;Römling;Römling;Moritz Römling;VfL Bochum;DEFENDER;500000;0;0.0
pl-k00111367;Mohamed;Simakan;Simakan;Mohamed Simakan;RB Leipzig;DEFENDER;2600000;167;3.1
pl-k00111782;Jacob;Christensen;Christensen;Jacob Christensen;1. FC Köln;MIDFIELDER;1500000;12;4.25
pl-k00111919;Max;Rosenfelder;Rosenfelder;Max Rosenfelder;SC Freiburg;DEFENDER;700000;0;0.0
pl-k00112134;Joakim;Maehle;Maehle;Joakim Maehle;VfL Wolfsburg;DEFENDER;2300000;144;3.43
pl-k00112498;Tomas;Cvancara;Cvancara;Tomas Cvancara;Bor. Mönchengladbach;FORWARD;2200000;35;4.13
pl-k00112668;Sebastiaan;Bornauw;Bornauw;Sebastiaan Bornauw;VfL Wolfsburg;DEFENDER;2200000;46;3.88
pl-k00112735;Bambasé;Conté;Conté;Bambasé Conté;TSG Hoffenheim;MIDFIELDER;500000;14;0.0
pl-k00113185;Joe;Scally;Scally;Joe Scally;Bor. Mönchengladbach;DEFENDER;1700000;43;4.25
pl-k00114601;Edmond;Tapsoba;Tapsoba;Edmond Tapsoba;Bayer 04 Leverkusen;DEFENDER;3800000;147;3.02
pl-k00114612;Lucas;Silva Melo;Tuta;Tuta;Eintracht Frankfurt;DEFENDER;1900000;86;3.77
pl-k00114616;Andras;Schäfer;Schäfer;Andras Schäfer;1. FC Union Berlin;MIDFIELDER;1700000;38;3.92
pl-k00114667;Melayro;Bogarde;Bogarde;Melayro Bogarde;TSG Hoffenheim;DEFENDER;600000;0;0.0
pl-k00114723;Kouadio;Koné;Koné;Kouadio Koné;Bor. Mönchengladbach;MIDFIELDER;2200000;56;3.8
pl-k00114736;Maximilian;Beier;Beier;Maximilian Beier;TSG Hoffenheim;FORWARD;1500000;239;3.07
pl-k00114751;Leonidas;Stergiou;Stergiou;Leonidas Stergiou;VfB Stuttgart;DEFENDER;1700000;57;3.14
pl-k00114998;Brenden;Aaronson;Aaronson;Brenden Aaronson;1. FC Union Berlin;MIDFIELDER;2000000;70;3.89
pl-k00115990;Sacha;Boey;Boey;Sacha Boey;Bayern München;DEFENDER;2600000;-2;4.5
pl-k00116369;Eric Junior;Dina Ebimbe;Dina Ebimbe;Eric Junior Dina Ebimbe;Eintracht Frankfurt;MIDFIELDER;2200000;92;3.91
pl-k00116548;Paul;Tschernuth;Tschernuth;Paul Tschernuth;1. FC Heidenheim;GOALKEEPER;500000;0;0.0
pl-k00116616;Tiago;Barreiros de Melo Tomas;Tiago Tomas;Tiago Tomas;VfL Wolfsburg;FORWARD;1800000;40;4.09
pl-k00116714;Enzo;Millot;Millot;Enzo Millot;VfB Stuttgart;MIDFIELDER;1600000;190;3.13
