ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030669;Manuel;Neuer;Neuer;Manuel Neuer;Bayern München;GOALKEEPER;3400000;128;3.18
pl-k00037056;Tobias;Sippel;Sippel;Tobias Sippel;Bor. Mönchengladbach;GOALKEEPER;500000;0;0.0
pl-k00039161;Sven;Ulreich;Ulreich;Sven Ulreich;Bayern München;GOALKEEPER;500000;15;1.5
pl-k00039245;Oliver;Baumann;Baumann;Oliver Baumann;TSG Hoffenheim;GOALKEEPER;3400000;208;3.07
pl-k00039284;Ron-Robert;Zieler;Zieler;Ron-Robert Zieler;1. FC Köln;GOALKEEPER;1000000;0;0.0
pl-k00040891;Jens;Grahl;Grahl;Jens Grahl;Eintracht Frankfurt;GOALKEEPER;500000;0;0.0
pl-k00043520;Janis;Blaswich;Blaswich;Janis Blaswich;Bayer 04 Leverkusen;GOALKEEPER;1000000;73;3.0
pl-k00043592;Mario;Götze;M. Götze;Mario Götze;Eintracht Frankfurt;MIDFIELDER;2400000;32;4.0
pl-k00050237;Timothy;Chandler;Chandler;Timothy Chandler;Eintracht Frankfurt;DEFENDER;700000;2;0.0
pl-k00054360;Daniel;Batz;Batz;Daniel Batz;1. FSV Mainz 05;GOALKEEPER;500000;150;2.88
pl-k00054640;Danny;da Costa;da Costa;Danny da Costa;1. FSV Mainz 05;DEFENDER;1800000;135;3.6
pl-k00057241;Rani;Khedira;R. Khedira;Rani Khedira;1. FC Union Berlin;MIDFIELDER;1900000;160;3.48
pl-k00057797;Markus;Kolke;Kolke;Markus Kolke;Werder Bremen;GOALKEEPER;500000;0;0.0
pl-k00058003;Mitchell;Weiser;Weiser;Mitchell Weiser;Werder Bremen;MIDFIELDER;3200000;0;0.0
pl-k00058007;Emre;Can;Can;Emre Can;Borussia Dortmund;DEFENDER;2500000;67;3.06
pl-k00058548;Peter;Gulacsi;Gulacsi;Peter Gulacsi;RB Leipzig;GOALKEEPER;3400000;165;2.93
pl-k00058740;Alexander;Meyer;A. Meyer;Alexander Meyer;Borussia Dortmund;GOALKEEPER;800000;0;0.0
pl-k00058938;Christopher;Trimmel;Trimmel;Christopher Trimmel;1. FC Union Berlin;DEFENDER;1600000;114;3.44
pl-k00059041;Andrej;Kramaric;Kramaric;Andrej Kramaric;TSG Hoffenheim;MIDFIELDER;3800000;276;2.95
pl-k00060522;Stefan;Bell;Bell;Stefan Bell;1. FSV Mainz 05;DEFENDER;1700000;64;3.69
pl-k00060535;Leonardo;Bittencourt;Bittencourt;Leonardo Bittencourt;Werder Bremen;MIDFIELDER;1700000;45;3.61
pl-k00063777;Lukas;Kübler;Kübler;Lukas Kübler;SC Freiburg;DEFENDER;2000000;96;3.52
pl-k00063799;Michael;Gregoritsch;Gregoritsch;Michael Gregoritsch;FC Augsburg;FORWARD;1800000;81;3.54
pl-k00065090;Anthony;Jung;A. Jung;Anthony Jung;SC Freiburg;DEFENDER;1400000;20;4.0
pl-k00065896;Robin;Zentner;Zentner;Robin Zentner;1. FSV Mainz 05;GOALKEEPER;3200000;50;3.1
pl-k00066523;Florian;Kainz;Kainz;Florian Kainz;1. FC Köln;MIDFIELDER;1800000;43;3.5
pl-k00066525;Dominique;Heintz;Heintz;Dominique Heintz;1. FC Köln;DEFENDER;1600000;28;3.5
pl-k00066745;Niklas;Süle;Süle;Niklas Süle;Borussia Dortmund;DEFENDER;2300000;41;3.5
pl-k00066753;Serge;Gnabry;Gnabry;Serge Gnabry;Bayern München;MIDFIELDER;3800000;171;2.9
pl-k00066754;Leon;Goretzka;Goretzka;Leon Goretzka;Bayern München;MIDFIELDER;3200000;175;3.23
pl-k00067144;Patrick;Drewes;Drewes;Patrick Drewes;Borussia Dortmund;GOALKEEPER;500000;0;0.0
pl-k00067514;Kevin;Stöger;Stöger;Kevin Stöger;Bor. Mönchengladbach;MIDFIELDER;2200000;65;3.94
pl-k00067724;Kevin;Akpoguma;Akpoguma;Kevin Akpoguma;TSG Hoffenheim;DEFENDER;1600000;12;0.0
pl-k00068029;Jonas;Hofmann;Hofmann;Jonas Hofmann;Bayer 04 Leverkusen;MIDFIELDER;1900000;72;3.68
pl-k00068578;Julian;Brandt;Brandt;Julian Brandt;Borussia Dortmund;MIDFIELDER;3200000;146;3.26
pl-k00068674;Daniel;Heuer Fernandes;Heuer Fernandes;Daniel Heuer Fernandes;Hamburger SV;GOALKEEPER;2400000;253;2.79
pl-k00069255;Willi;Orban;Orban;Willi Orban;RB Leipzig;DEFENDER;3500000;182;3.24
pl-k00070374;Marvin;Schwäbe;Schwäbe;Marvin Schwäbe;1. FC Köln;GOALKEEPER;2800000;224;2.99
pl-k00070409;Michy;Batshuayi;Batshuayi;Michy Batshuayi;Eintracht Frankfurt;FORWARD;1600000;11;4.25
pl-k00070592;Jonathan;Tah;Tah;Jonathan Tah;Bayern München;DEFENDER;5000000;180;2.83
pl-k00070598;Luca;Waldschmidt;Waldschmidt;Luca Waldschmidt;1. FC Köln;FORWARD;1600000;71;3.94
pl-k00070605;Harry;Kane;Kane;Harry Kane;Bayern München;FORWARD;8500000;407;2.32
pl-k00070806;Maximilian;Philipp;Philipp;Maximilian Philipp;SC Freiburg;FORWARD;1000000;4;0.0
pl-k00070987;Carl;Klaus;Klaus;Carl Klaus;1. FC Union Berlin;GOALKEEPER;500000;35;2.5
pl-k00070990;Matthias;Ginter;Ginter;Matthias Ginter;SC Freiburg;DEFENDER;3600000;239;2.94
pl-k00070997;Robert;Andrich;Andrich;Robert Andrich;Bayer 04 Leverkusen;MIDFIELDER;2700000;86;3.88
pl-k00071021;Benjamin;Henrichs;Henrichs;Benjamin Henrichs;RB Leipzig;DEFENDER;2200000;31;4.38
pl-k00071150;Joshua;Kimmich;Kimmich;Joshua Kimmich;Bayern München;MIDFIELDER;6000000;230;2.71
pl-k00071151;Niklas;Stark;Stark;Niklas Stark;Werder Bremen;DEFENDER;2200000;26;3.82
pl-k00071294;Dominik;Kohr;Kohr;Dominik Kohr;1. FSV Mainz 05;DEFENDER;2200000;87;3.75
pl-k00071610;Janik;Haberer;Haberer;Janik Haberer;1. FC Union Berlin;MIDFIELDER;1500000;62;3.93
pl-k00072478;Mark;Flekken;Flekken;Mark Flekken;Bayer 04 Leverkusen;GOALKEEPER;3400000;130;3.25
pl-k00072607;Niklas;Lomb;Lomb;Niklas Lomb;Bayer 04 Leverkusen;GOALKEEPER;500000;0;0.0
pl-k00072675;Matthias;Köbbing;Köbbing;Matthias Köbbing;1. FC Köln;GOALKEEPER;500000;0;0.0
pl-k00072684;Leopold;Zingerle;Zingerle;Leopold Zingerle;RB Leipzig;GOALKEEPER;500000;0;0.0
pl-k00072706;Christian;Günter;Günter;Christian Günter;SC Freiburg;DEFENDER;2400000;76;3.68
pl-k00072755;Alexander;Nübel;Nübel;Alexander Nübel;VfB Stuttgart;GOALKEEPER;3200000;228;3.0
pl-k00072759;Vincenzo;Grifo;Grifo;Vincenzo Grifo;SC Freiburg;MIDFIELDER;3600000;148;3.54
pl-k00073206;Marcel;Sabitzer;Sabitzer;Marcel Sabitzer;Borussia Dortmund;MIDFIELDER;2600000;121;3.33
pl-k00074593;Robert;Glatzel;Glatzel;Robert Glatzel;Hamburger SV;FORWARD;2000000;55;3.88
pl-k00075006;Jeffrey;Gouweleeuw;Gouweleeuw;Jeffrey Gouweleeuw;FC Augsburg;DEFENDER;2600000;36;3.68
pl-k00075196;Jordan;Torunarigha;Torunarigha;Jordan Torunarigha;Hamburger SV;DEFENDER;1700000;65;3.79
pl-k00075261;Haris;Tabakovic;Tabakovic;Haris Tabakovic;Bor. Mönchengladbach;FORWARD;2000000;127;3.88
